Stock,minute_of_day,spread_bps,depth_gbp,volume
KGF.L,615,8.477256046915768,5960.1725703125,34321.31122616281
KGF.L,616,8.829183172932433,5724.381441666667,2549.415426791333
KGF.L,617,8.723048677281927,5613.216928571428,4201.671603088571
KGF.L,618,9.168301219149443,5958.311849206349,4576.7366777503175
KGF.L,619,8.639844655853015,5180.233064516129,3863.693281060968
KGF.L,620,8.63812305782493,5377.587721311475,1341.578739657541
KGF.L,621,8.839166387611314,5351.718619047619,1462.8860509380952
KGF.L,622,8.933979809495415,5494.046785714286,2508.277364025238
KGF.L,623,8.78979765429214,5527.140467741936,5417.272498696129
KGF.L,624,8.853327704862469,5928.407360655738,3357.5588844588524
KGF.L,625,8.333327268776083,5393.25546031746,1596.3826630771428
KGF.L,626,8.682964163644694,5211.9773046875,6575.991629637812
KGF.L,627,8.897602404539896,5634.7866693548385,1989.1951022467742
KGF.L,628,8.638344568404825,6396.1967109375,42696.75227596344
KGF.L,629,8.762254045501066,6573.9504609375,2946.0036957125
KGF.L,630,8.749949614411843,5873.4875625,3479.9871969734377
KGF.L,631,8.746566467970826,5838.933258064517,1956.2154833124196
KGF.L,632,8.585035640053663,5628.311966666666,93574.90875
KGF.L,633,8.788382879733033,5524.4554677419355,1960.8755762898386
KGF.L,634,8.80586079033493,5989.428298387097,3143.1351680975804
KGF.L,635,8.982551454397381,6471.541,1842.0387777101614
KGF.L,636,8.460955165974763,5438.1297578125,81087.9643276414
KGF.L,637,8.63032337098778,5761.037669354839,1821.5727651820969
KGF.L,638,9.1739257974678,5886.706672131148,2583.86968851541
KGF.L,639,8.668849889012485,5706.923379032258,1706.5635639909676
KGF.L,640,8.759495254115043,5173.288603174603,1732.6484493120636
KGF.L,641,8.527142215874177,5617.702774193548,2863.47119413371
KGF.L,642,8.682455052951134,6187.575262295082,1751.5635035159016
KGF.L,643,9.075974367469486,6047.451507936508,1706.690028606508
KGF.L,644,8.868118652980797,5739.630095238095,2152.802521462698
KGF.L,645,8.509794622670913,5533.938301587302,2120.087077427619
